diskCtlrTimeBegin,diskCtlrTimeEnd,diskCtlrQueueDepth,diskCtlrQueueDepthEnd,tagID_begin,tagID_end,diskCacheHitStatus,CCT,qCCT,tagID[1],opid[1],devno[1],blkno[1],blkcnt[1],flags[1],cylBegin[1],headBegin[1],thetaBegin[1],cylDest[1],headDest[1],sectorDest[1],SeekDistance[1],SeekTime[1],Latency[1],XferTime[1],AccessTime[1],rpo_seektime[1],rpo_latency[1],rpo_xfertime[1],BlocksXferred[1],block_first[1],block_last[1],tagID[2],opid[2],devno[2],blkno[2],blkcnt[2],flags[2],cylBegin[2],headBegin[2],thetaBegin[2],cylDest[2],headDest[2],sectorDest[2],SeekDistance[2],SeekTime[2],Latency[2],XferTime[2],AccessTime[2],rpo_seektime[2],rpo_latency[2],rpo_xfertime[2],BlocksXferred[2],block_first[2],block_last[2]
420765.114243,420765.606243,0,0,8479,8479,BUFFER_WHOLE,0.492000,0.492000,8479,8478,0,4644608,4,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
420811.184243,420812.082243,0,1,8480,8480,BUFFER_NOMATCH,0.898000,0.898000,8480,8479,0,5439204,4,0,3106,4,2763923685,3683,3,74,577,4.707370,3.958398,0.144086,8.809854,4707370000,3584665279,144097689,5,5439204,5439208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
420846.113243,420846.632243,0,1,8481,8481,BUFFER_NOMATCH,0.519000,0.519000,8481,8480,0,5439208,4,0,3683,3,2079782425,3683,3,78,0,0.000000,4.161199,0.144086,4.305285,0,17109,144097689,5,5439208,5439212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
420929.138243,420930.590353,0,0,8482,8482,BUFFER_NOMATCH,1.452111,1.452111,8482,8481,0,5439264,4,1,3683,4,3609535076,3683,5,0,0,0.000000,0.423259,0.144086,0.567345,195000000,490232133,36021570,289,5439264,5439550,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
420975.031353,420975.523353,0,0,8483,8483,BUFFER_WHOLE,0.492000,0.492000,8483,8482,0,5439464,4,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421065.240353,421066.156353,0,0,8484,8484,BUFFER_WHOLE,0.916000,0.916000,8484,8483,0,5439468,8,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421098.557353,421099.049353,0,0,8485,8485,BUFFER_WHOLE,0.492000,0.492000,8485,8484,0,5439476,4,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421136.289353,421137.611353,0,1,8486,8486,BUFFER_NOMATCH,1.322000,1.322000,8486,8485,0,5439404,8,0,3683,5,27999166,3683,4,108,0,0.195000,2.229180,0.288173,2.712352,195000000,5821686946,288201081,9,5439404,5439412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421182.512353,421195.788336,0,0,8487,8487,BUFFER_NOMATCH,13.275982,13.275982,8487,8486,0,1475436,4,1,951,2,3381652389,951,3,0,2732,9.126480,3.126006,0.122665,12.375151,195000000,480080392,30666242,288,1475436,1475722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421245.563336,421246.885336,0,1,8488,8488,BUFFER_NOMATCH,1.322000,1.322000,8488,8487,0,1230760,8,0,951,3,1198081820,793,4,28,158,3.625400,2.590895,0.245330,6.461625,3625400000,1987083523,245341344,9,1230760,1230768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421270.439336,421271.382336,0,1,8489,8489,BUFFER_NOMATCH,0.943000,0.943000,8489,8488,0,1230768,8,0,793,4,1883909929,793,4,36,0,0.000000,5.885706,0.245330,6.131036,0,17109,245341344,9,1230768,1230776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421322.724336,421330.543755,0,0,8490,8490,BUFFER_NOMATCH,7.819420,7.819420,8490,8489,0,1724656,4,1,1111,7,298229408,1112,0,0,318,4.007280,2.788643,0.122665,6.918588,636000000,498992287,30666242,288,1724656,1724942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421365.203755,421366.525755,0,1,8491,8491,BUFFER_NOMATCH,1.322000,1.322000,8491,8490,0,1724844,8,0,1112,0,1223302545,1112,0,60,0,0.000000,1.213070,0.245330,1.458400,0,2975138783,245341344,9,1724844,1724852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
